source_url,source_label,source_type,used_for
https://www.deeplumen.com/industries/home-living/,Qbedding home and living case,public_page,"ACCC score, AI visits, content scope"
https://www.deeplumen.com/industries/electronics/,Nullport electronics case,public_page,"AI sessions lift, token cost reduction, AI Visibility Score, cited answer subset share"
https://www.deeplumen.com/industries/health-beauty/,Vermille health and beauty case,public_page,"AI traffic lift, AI Visibility Score, cited recommendation timeline"
https://www.deeplumen.com/industries/fashion-apparel/,Atelier Vauclair fashion case,public_page,"AI sessions lift, month-end retrieval baseline, SKU count"
https://www.deeplumen.com/blog/magarri-case-study/,Magarri case study,public_page,"AI citations lift, ChatGPT comparison presence"
https://www.deeplumen.com/blog/looktech-case-study/,Looktech case study,public_page,"AI citations lift, ChatGPT share of voice lift"
https://www.deeplumen.com/blog/1988-coffee-estate-case-study/,1988 Coffee Estate case study,public_page,"AI citations lift, non-branded brand presence lift"
https://www.deeplumen.com/blog/accc-scoring-system/,ACCC scoring system,public_page,"Framework context for 100-point AI search visibility scoring"
https://www.deeplumen.com/cases/hoto-ai-search-growth/,HOTO AI search growth case study,public_page,"AI crawler visits, ChatGPT real-time product retrievals, OpenAI share of AI visits, product crawl coverage"
https://www.deeplumen.com/whitepapers/ai-shelf-benchmark/,AI Shelf Benchmark whitepaper,public_page,"Methodology context for AI Shelf Score, recommendation readiness, and 100-point benchmark framework"
https://www.deeplumen.com/blog/ai-traffic-logs-for-ecommerce/,AI Traffic Logs for Ecommerce,public_page,"Methodology context for distinguishing crawlers, ChatGPT-User, OAI-SearchBot, catalog feeds, referrals, and checkout signals"
